1,2,5,8,10,26,31
2,4,7,15,23,33,49
3,2,20,31,33,44,46
4,16,24,27,42,43,44
5,11,12,17,19,40,41
6,5,21,33,34,36,38
7,9,19,24,39,40,41
8,7,9,13,20,31,45
9,15,24,33,36,42,46
10,10,11,33,37,41,49
11,14,15,19,34,40,43
12,2,8,10,23,43,45
13,14,16,19,20,29,48
14,5,16,19,26,32,45
15,16,28,31,34,37,44
16,1,3,6,14,27,34
17,8,20,35,39,40,48
18,2,11,33,38,44,45
19,4,20,31,32,37,41
20,25,26,37,38,39,40
21,21,30,31,32,38,39
22,1,11,18,22,30,34
23,6,8,23,34,36,39
24,1,2,6,9,13,27
25,5,7,33,37,41,42
26,5,8,22,31,37,48
27,3,26,31,42,44,49
28,2,3,9,28,30,36
29,15,16,19,32,33,44
30,1,2,8,17,30,45
31,2,6,39,40,42,47
32,5,26,28,29,31,32
33,8,13,15,18,25,33
34,6,9,13,14,22,42
35,4,9,36,42,44,45
36,5,10,15,26,27,33
37,4,11,15,16,31,45
38,6,28,32,33,35,41
39,4,11,22,36,39,46
40,1,4,9,26,28,32
41,8,11,20,35,43,48
42,10,16,23,35,38,41
43,7,10,26,34,39,47
44,24,35,37,38,39,45
45,1,22,23,29,31,33
46,8,23,30,40,41,48
47,7,18,43,47,48,49
48,2,4,8,9,21,27
49,1,15,27,34,36,38
50,14,21,33,35,43,48
51,16,20,21,23,27,40
52,2,16,18,32,39,48
53,2,8,11,13,38,47
54,29,31,32,34,41,45
55,7,12,36,37,46,49
56,11,15,21,42,44,47
57,2,3,7,16,19,31
58,7,12,20,21,24,36
59,11,24,29,34,38,40
60,4,5,19,20,27,29
61,1,5,13,19,31,44
62,3,16,31,35,36,42
63,13,19,23,28,29,43
64,21,22,33,34,41,45
65,13,30,34,44,45,48
66,12,21,32,41,43,44
67,10,11,24,32,44,47
68,1,7,20,25,36,45
69,1,24,30,41,42,43
70,6,9,12,23,29,37
71,4,9,13,28,36,46
72,1,4,20,23,33,47
73,5,15,32,33,43,44
74,12,26,35,38,43,45
75,11,14,17,40,42,48
76,1,8,21,34,35,37
77,18,23,26,34,44,49
78,1,6,14,19,39,46
79,7,16,24,25,37,48
80,11,12,13,14,15,27
81,5,11,16,29,34,49
82,3,4,20,21,22,36
83,6,11,18,22,33,45
84,4,7,15,28,32,43
85,1,8,9,11,29,38
86,1,14,18,22,30,35
87,13,22,24,25,28,35
88,16,18,25,31,37,48
89,14,29,32,34,38,49
90,2,4,7,13,25,44
91,11,16,25,33,37,44
92,8,15,19,26,37,45
93,7,13,15,21,26,30
94,10,19,28,41,47,48
95,4,10,29,33,34,48
96,2,21,24,25,35,40
97,4,9,12,34,41,46
98,4,5,15,26,28,29
99,1,14,15,23,24,27
100,1,17,30,36,44,48
101,12,17,25,31,34,40
102,3,17,18,20,31,32
103,6,11,14,19,32,39
104,2,19,21,38,45,46
105,10,15,20,24,39,40
106,3,4,8,14,27,45
